review,sentiment
"I love Umberto Lenzi's cop movies -- ROME ARMED TO THE TEETH is my favorite -- and his DESERT COMMANDOS pretty much legitimized the Italian Euro War phenomenon by managing to actually be a pretty good movie. Give him guns, machines, some guys to run around talking tough and it's hard for him to miss.<br /><br />What a shame it is then to encounter his EATEN ALIVE and CANNIBAL FEROX. They could have been by anybody, really, and one watches them with a sense that he was under contract, was told what kind of films to make, was assigned a cast & crew and given a budget, deadline and script. Lenzi then went out and executed his films the same way that a guy at McDonald's fixes a batch of French Fries. Of the two, EATEN ALIVE is the more original -- which is kind of amazing considering that it features extensive footage copped from three other cannibal movies -- and easier to enjoy than CANNIBAL FEROX, though not much.<br /><br />I will let others outline the plot: What fascinated me about the film is how staged it all looks, and yet what a somewhat infamous reputation this film has as some sort of all-out assault on good taste. It isn't, though the film is an exercise in bad taste, complete with a title-earning scene where two of the pretty supporting ladies are quite literally sliced up and eaten alive by cannibals which is the film's high point. The problem is that Lenzi lets us get a good, long look at the cannibal feast scene and it has the convincing ring of a 3rd season STAR TREK episode complete with a fake jungle set for the really gory close up shots. And I don't know about anyone else, but if someone was slicing off pieces of my person and eating them I wouldn't just lie there and look distressed.<br /><br />My problem with the film might be that I have a lot of respect for Lenzi as a filmmaker, and again this could have been directed by anybody. All of your cannibal movie conventions are touched on but it never feels like they are filmed with any real conviction, other than to try and bully Ruggero Deodato out of the sandbox. The two directors certainly must have known each other and either had a sort of juvenile rivalry or an actual dislike for each other's work and a conscious need to upstage them. Lenzi invented the cannibal genre with MAN FROM DEEP RIVER, Deodato blew it away with JUNGLE HOLOCAUST, Lenzi fired back with EATEN ALIVE, Deodato blew him (and everyone else) away with the superior CANNIBAL HOLOCAUST, and Lenzi fired a last parting salvo with CANNIBAL FEROX, which is about as realistic as that Krazy Glu commercial where the guy superglues his hardhat to a girder and hangs in midair.<br /><br />This film is less desperate and a bit more hesitant to push viewers into the abyss with everything holy than FEROX, which remains as a sort of misguided attempt to upstage CANNIBAL HOLOCAUST. This one is more of a mish-mash, with an interesting jungle adventure crossed with a Jim Jones like suicide cult -- the cannibals seem like they were added as an afterthought rather than the reason for making the film. I think that fans of the genre will have a better impression of the film than fans of Lenzi's films looking for something new by the formidable director. It isn't as entertaining as SLAVE OF THE CANNIBAL GOD, adventurous as his own MAN FROM DEEP RIVER and certainly lacks the wallop of CANNIBAL HOLOCAUST. Combine those considerations with the recycled footage, stomach churning scenes of animal violence, misogynistic scenes of sexual violence and stagy, wooden methodology of film-making and what you get ends up being an OK jungle thriller with two or three standout scenes, and Umberto Lenzi was capable of so much more.<br /><br />4/10; Gore freaks will go nuts however.",negative
"Routine suspense yarn about a sociopath (Dillon) who gives his sperm to a clinic of human reproduction and starts to harrass the lives of the woman (Antony) and his husband (Mancuso). Extremely predictable, far-fetched and with undecided tone all the way. Don't lose your time with this one...make a baby instead!",negative
"This is the Columbo that got directed by Steven Spielberg at an early point in his career. It's nothing sensational but some small hint of great things to come for Spielberg can be seen in this movie. The movie is basically in the same style as most of Spierlberg's '70's movies and TV works. So that means that some characters tend to show some quirkiness's and no I'm not just talking about the Columbo character alone. The kind of character quirkiness which perhaps can be best seen in the 1975 Spielberg movie ""Jaws"". But other than some small hints of typical early Spielberg elements, you can't call this movie the work of- and fine example of a rising director star. Not that its bad, of course it isn't but as I said earlier, it also isn't anything too sensational.<br /><br />This movie began really well and very promising but after it's fine opening, in which as always the murder occurred, the movie became sort of more slow and also dull to watch. Dull because it's mostly a Columbo movie by the book that doesn't have real memorable moments in it, not dull because it's a boring movie to watch.<br /><br />The murder itself was quite ingenious and the concept of having a crime story writer murdering his writing partner showed some great and interesting potential. The story however didn't really explored all of its possibilities. At least that's the feeling this movie left me with.<br /><br />The movie was still a good one to watch nevertheless thanks to the character of Jack Cassidy, who thinks he's smarter then Columbo, due to his mystery/crime writing experience and tries to give him all kinds of possible hints, leading away from himself. But of course Columbo knows better and he is his number one suspect from the first moment on but he as usual plays the game along.<br /><br />The movie does have a good overall style and uses some fine camera position and editing. Funny to see that also most of this was all mostly consistent with Spielberg's later work, especially some of the camera-angles.<br /><br />A fine and perfectly watchable Columbo movie but don't let the name of Spielberg attached to it rise your expectations for it too highly.<br /><br />7/10",positive
"This second film is just as interesting as the previous one except that there is no suspense. We know what he is going to do and what is going to happen before it is even hinted at on the screen. Then the pleasure comes only from the way the various tricks happen and the succession of them. We know there will be dynamite in the car, that he will lose a wheel, that the car will have a crash, just to speak of the car. And that is what happens. Now the details and the particulars are for you to discover them in the film. That he may be baited by some dumb woman is obvious and has to come but we know that he has already seen through her and that he knows he is being dragged into a trap. Now, how is he going to get out of it? That's what you must discover by yourself. And don't worry he will get the main trafficker but how is another story. A speed boat is no match to our busy beaver on the river. We also know when he is going to be wounded. They did not know what bullet-proof jackets were in those days. It's true recently it was discovered that some GIs did not have that kind of equipment in Iraq. But what is the meaning of such a film? This insistence on hunting the traffickers and this blindness that does not see that it is the prohibition that creates the problem. But the film is a constant and perfect illustration that there is no value what so ever that can stand in the way of this moralistic crusade against the forces of evil. Why not simply legalize these goods so that they can be properly observed and under surveillance? When something is not illegal or pushed out of the way it is all the less fun to use them, to do them. It is the forbidden or the restricted that is attractive.<br /><br />Dr Jacques COULARDEAU, University Paris Dauphine, University Paris 1 Pantheon Sorbonne & University Versailles Saint Quentin en Yvelines",positive
"I enjoyed every moment of this beautiful film and was intrigued about this female painter I had never heard of before. So I set out exploring her life and work afterwards. As could be expected, I found out that the film was not exactly historically accurate. I was a little astounded however by the very negative comments on the film because of this inaccuracy. Come on, guys, a film isn't and shouldn't be a biography (nor a novel!). Any historical film distorts reality, because it should be a work of art in its own right. A film director is fully entitled to use elements from reality and history to create a world of his own. Artemisia is a wonderful film and I think it brought many people (including some that now give negative comments) to explore the life and work of this fascinating artist.",positive
"Terry Gilliam's and David Peoples' teamed up to create one of the most intelligent and creative science fiction movies of the '90's. People's proved a screenplay with bizarre twists and fantastic ideas about the nature of time  I especially love the idea one can't change the past; it's a nice counterpoint to so many time-travelling movies which say otherwise  biological holocausts and the thin line between sanity and madness. Gilliam visualized his ideas with unique quirkiness, perfection and originality.<br /><br />The story itself is engaging: one man, James Cole (played by Bruce Willis in a heart-warming performance) travels several decades to the past to retrieve information about a virus that's wiped out mankind and left only a few survivors alive living underground: with the information he'll collect, scientists hope to find a cure so everyone in the future can return to the surface. But because their time-travelling technology isn't perfect, he ends up being sent towards different other pasts and complicating things. And from that a brilliant science fiction thriller with shades of film noir ensues as the multiple pieces of a huge jigsaw start fitting together to form a bizarre narrative involving animal right activists, end of the millennium paranoia, biological weapons, the perception of reality, and the definition of sanity. With such a complex movie, it was easy for Gilliam and Peoples to create a mess, but instead Twelve Monkeys is a thought-provoking narrative which will please those who like to be challenged and have patience to appreciate some crazy ideas.<br /><br />I watched this movie once around 10 years ago. It marked me a lot: I remember still thinking about many days after-wards; for my young mind this seemed quite mind-blowing and it was one of the first movies to make me appreciate cinema as something serious and important. I've re-watched this movie a few days ago on DVD and it's better than I remembered it. Brad Pitt still steals all the scenes he's in, playing Jeffrey Goines  almost a prelude to his Tyler Durden character in Fight Club  a rich kid with some anarchist/non-conformist ideas who's also crazy and, according to Cole, perhaps responsible for the virus. The scenes between Jeffrey and Cole in the madhouse are the best in the movie, Pitt's eyes, voice and quirky mannerisms convince you he's really a crazy guy locked in a warped logic only he understands. Pitt's Oscar nomination was well deserved! Surprising was also Bruce Willis' performance: his I didn't remember very well, but it's beautiful and full of sensibility; he plays a man who spent almost all his life underground, and when he comes to the past you'll share his childish fascination with something as simple as breathing the fresh air of the morning or watching the sun go up. Cole is a rather ambiguous character, Peoples' tried to imbue some darkness in him, and he does other disturbing things to other people and to himself: the scene where he removes his own teeth reveals how far his dementia has gone unchecked. Ironically Cole didn't start as a crazy character, but when he starts warning everyone about the end of the world, he's considered mad and convinced it's all in his mind, until he arrives at a point when he can't distinguish past from future, reality from fiction. Willis spends a lot of time looking confused and insecure, and it works perfectly. One of the fun twists in the narrative is when Cole's shrink, Dr. Kathryn Railly, finds undeniable proof he's really from the future and now has to convince him again of his mission to save the world. The screenplay is full with weird twists like this and it keeps the movie in a fast pace. Their relationship is also well-handed, although perhaps a bit compressed for time's sake. But I enjoyed watching Cole and Railly falling in love and trying to escape the authority of the future to live a peaceful life in the past. But then things end in a tragic/bittersweet climax at an airport, wrapping all the pieces together, which will blow many minds away.<br /><br />There are two great endings in this movie, a twist in the sense of Se7en or Fight Club, and a more intimate ending where Railly is crouching next to Cole who's just been shot and looking around for a younger James Cole who's witnessing his future self die; the two share a brief look, and she smiles at him. The twist is brilliant, but I prefer this ending for emotional impact. Madeleine Stowe is very good playing Dr. Railly, she drew many different emotions from me in her performance. The movie is filled with a sense of fatalism with the idea the past can't be changed: this movie shows that in a terrifying way. It reminds me of Chinatown in that sense, the way Jake Gittes messes everything up the more he tries to help. Railly's character shares that fatalism, the more she tries to help Cole  first dealing with his 'madness' then helping him in his mission  the more they're sucked into tragedy.<br /><br />The twist ends with a hopeful note, though, with the feeling Cole's mission hasn't been in vain. Twelve Monkeys is a great movie to watch if one wants to be entertained; it's not supposed to be art, although it's more artists than many artistic movies. It's an unpretentious movie where all elements, from music to editing to costume design, etc., came together beautifully to produce a modern cinema masterpiece.",positive
"I saw this movie in Blockbuster and thought it might be a good Sunday evening movie when there is nothing else to do. So I bought it used, 3 DVDs for $25. Although it was cheap, my money would have been better spent on a nail to drive through my foot.<br /><br />The film started out nicely. Kinda Dark and mysterious. I was always enthralled with vampire and samurai movies as a kid. I thought the combo would be really cool. The first fight scene was pretty cool. I was excited for the rest of the movie. Then the movie took a serious nose dive.<br /><br />I understand that this was a big hit in the east. I guess because of the twins. I don't see it though. This movie, aside from the first 10 minutes, was absolutely horrible. So many movies in this genre have the potential to be great, and blow it terribly. This is just another casualty.<br /><br />Jacki Chan's role in this film doesn't make any sense at all. Whyyyyyyyy? Complete silliness. He probably made a few bucks off it though.<br /><br />The only cool thing in this movie are the swords they use. Nice idea.<br /><br />I wouldn't recommend this movie to anyone.",negative
"I don't need to say much about how good this documentary is--it's truly an amazing piece of true narrative. The story is simple enough: a white senior citizen tourist is murdered by a young black man in Florida, and the boy who is arrested is mistreated and put on trial with only the public defender and his family on his side. It's very enthralling, and the public defender is a joy to watch in all his human ways--you can't help but pull for the triumph of justice, and the ending fulfills more than could be expected of a true story.<br /><br />It's a shame more people haven't seen this documentary, but hopefully you will find a way to watch it. For those interested in race relations in the United States, and the actual workings of law enforcement and the legal process, it's well worth your time and effort to find this documentary. I give it a 10.",positive
"Excellent documentary that still manages to shock and enlighten. Unfortunately, times haven't changed much since this was made and it is thus an important piece for all freedom-conscious Americans to see.",positive
"I have never understood the appeal of this show. The acting is poor (Debra Jo Rupp being a notable exception), the plots of most episodes are trite and uninspiring, the dialogue is weak, the jokes unfunny and it is painful to try and sit through even half an episode. Furthermore the link between this show and the '70s' is extremely tenuous beyond the style of dress and the scenery and background used for the show -it seems to be nothing more than a modern sitcom with the same old unfunny, clichéd scripts that modern sitcoms have dressed up as depicting a show from twenty years ago in the hope that it will gain some nostalgic viewers or something like that. Both ""Happy Days"" and ""The Wonder Years"" employ the same technique much more effectively and are actually a pleasure to watch in contrast to this horrible, pathetic excuse for a show",negative
